Entity_Name,Entity_Type,County,Contact_1_Name,Contact_1_Title,Contact_1_Email,Contact_1_Phone,Contact_2_Name,Contact_2_Email,Bid_Portal,Bid_Portal_URL,Phase1_Called,Phase1_Dept,Phase1_Status,Phase1_Date,Phase1_Notes,Next_Action,Status,Date_Contacted,Disposition,Registration_Confirmed,Notes
Boonton Town Public School District,School District,Morris,,,steven.gardberg@boontonschools.org,973-335-9700,Thomas Valle,thomas.valle@boontonschools.org,,,NO,,,,,SEND EMAIL to steven.gardberg@boontonschools.org,Not Started,,,,
Boonton Township School District,School District,Morris,,,jmurray@btrvs.org,973-334-4162 x321,Kenneth Frattini,kfrattini@btrvs.org,,,NO,,,,,SEND EMAIL to jmurray@btrvs.org,Not Started,,,,
Butler Public School District,School District,Morris,,,pvargas@butlerboe.org,973-492-2025 x7401,Daniel Johnson,djohnson@butlerboe.org,,,NO,,,,,SEND EMAIL to pvargas@butlerboe.org,Not Started,,,,Borough of Butler. Small municipality. Purchasing info not published.
Chester Township School District,School District,Morris,,,peter.frascella@chester-nj.org,908-879-7373 x 7312,William Kochis,william.kochis@chester-nj.org,,,NO,,,,,SEND EMAIL to peter.frascella@chester-nj.org,Not Started,,,,
Denville Township K-8 School District,School District,Morris,Melissa Unrath,Qualified Purchasing Agent (QPA),dgurowsky@denville.org,973-983-6530 X3091,Steven Forte,sforte@denville.org,BidNet (Morris County Cooperative),https://www.bidnetdirect.com/new-jersey,NO,,,,,REGISTER ON BIDNET — bidnetdirect.com/new-jersey — covers this + all MCCPC members,Not Started,,,,Uses Morris County Bid System. Register at BidNet for all Morris County member towns.
Dover Public School District,School District,Morris,,,asabahoglu@dover-nj.org,973-989-2000,Luis Jaime,ljaime@dover-nj.org,,,NO,,,,,SEND EMAIL to asabahoglu@dover-nj.org,Not Started,,,,Town of Dover. Purchasing info not published on public website.
East Hanover Township School District,School District,Morris,Not Found,Not Found,cdelsandro@easthanoverschools.org,973-887-2112,Natalee Bartlett,nbartlett@easthanoverschools.org,,https://www.easthanovertownship.com/Notices/,YES,Facilities Management,no answer,06/05/26,/,SEND EMAIL to cdelsandro@easthanoverschools.org,Not Started,,,,
Educational Services Commission of Morris County,School District,Morris,,,bcatarina@escmorris.com,973-540-8844 x11,Angelo Vilardi,avilardi@escmorris.com,,,NO,,,,,SEND EMAIL to bcatarina@escmorris.com,Not Started,,,,
Florham Park School District,School District,Morris,Not Found,Not Found,john.csatlos@fpks.org,973-822-3880,Steven Caponegro,steve.caponegro@fpks.org,,Not Found,YES,Facilities Management,no answer,06/05/26,no answer,SEND EMAIL to john.csatlos@fpks.org,Not Started,,,,
Hanover Park Regional High School District,School District,Morris,,,walbert@hpreg.org,973-887-0320,Maria Carrell,mcarrell@hpreg.org,,,NO,,,,,SEND EMAIL to walbert@hpreg.org,Not Started,,,,
Hanover Township School District,School District,Morris,Not Found,Not Found,marci.krasny@htboe.org,973-515-2404,Justin Toomey,justin.toomey@htboe.org,,https://www.easthanovertownship.com/Notices/,YES,Facilities Management,no answer,06/05/26,/,SEND EMAIL to marci.krasny@htboe.org,Not Started,,,,
Harding Township School District,School District,Morris,,,jjennings@hardingtwp.org,973-267-6398 x101,Christopher Magno,cmagno@hardingtwp.org,,,NO,,,,,SEND EMAIL to jjennings@hardingtwp.org,Not Started,,,,
Jefferson Township Public School District,School District,Morris,,,rgiacchi@jefftwp.org,973-663-5780 x5094,Jeanne Howe,jhowe@jefftwp.org,,,NO,,,,,SEND EMAIL to rgiacchi@jefftwp.org,Not Started,,,,
Kinnelon School District,School District,Morris,,,lawlerk@kinnelon.org,973-838-1418 x5000,David Mango,mangod@kinnelon.org,,,NO,,,,,SEND EMAIL to lawlerk@kinnelon.org,Not Started,,,,Borough of Kinnelon. Has DPW department. Purchasing info not published.
Lincoln Park School District,School District,Morris,,,rbrown@lincpk.com,973-696-5500 x1002,Robert Mooney,mooney@lincpk.com,,,NO,,,,,SEND EMAIL to rbrown@lincpk.com,Not Started,,,,
Long Hill Township School District,School District,Morris,,,rboehmer@longhill.org,908-647-1200  x1031,George Alexis,galexis@longhill.org,,,NO,,,,,SEND EMAIL to rboehmer@longhill.org,Not Started,,,,Has DPW department with pothole reporting. Purchasing not published separately.
Madison Public School District,School District,Morris,,,issakj@madisonnjps.org,973-593-3100 x3110,Bruce Watson,watsonb@madisonnjps.org,,,NO,,,,,SEND EMAIL to issakj@madisonnjps.org,Not Started,,,,
Mendham Borough School District,School District,Morris,,,wolsky@mendhamboroschools.org,973-543-2295,Mitzi Morillo,morillo@mendhamboroschools.org,,,NO,,,,,SEND EMAIL to wolsky@mendhamboroschools.org,Not Started,,,,Borough of Mendham. Small municipality. Purchasing not published.
Mendham Township School District,School District,Morris,,,dmosner@mendhamtwp.org,973-543-7107,Salvatore Constantino,sconstantino@mendhamtwp.org,,,NO,,,,,SEND EMAIL to dmosner@mendhamtwp.org,Not Started,,,,
Mine Hill Township School District,School District,Morris,,,crodriguez@minehillcas.org,973-366-0590 x310,Lee Nittel,lnittel@minehillcas.org,Ed-Data,,NO,,,,,SEND EMAIL to crodriguez@minehillcas.org,Not Started,,,,Member of Ed-Data cooperative pricing system.
Montville Township School District,School District,Morris,,,katine.slunt@montville.net,973-331-7100 x2223,Thomas Gorman,thomas.gorman@montville.net,,,NO,,,,,SEND EMAIL to katine.slunt@montville.net,Not Started,,,,
Morris County Vocational School District,School District,Morris,Not Found,Not Found,davisonm@mcvts.org,973-326-7400,Anita Champagne,champagnea@mcvts.org,,https://www.morristwp.com/Bids.aspx,YES,Municipality,Not Interested,06/05/26,hang up,SEND EMAIL to davisonm@mcvts.org,Not Started,,,,
