This worksheet includes one table, with columns A through AX. Blank cells within the table indicate that there is no data for that element.  The table includes data, organized by district, such as county and district codes and names.  The table also includes basic information about the district such as address, website, and contacts. Districts with county code 80 are charter districts and the county name listed is the host county. District 1431 is a state agency that is in Mercer County.
New Jersey School Directory
Public School Districts
County Code,County Name,District Code,District Name,Chrt Sch Code,Supt. Title,Supt. First Name,Supt. Last Name,Supt. Title 2,Supt. EMail,Address1,Address2,City,State,Zip,Mailing Address1,Mailing Address2,Mailing Address3,Mailing City,Mailing State,Mailing Zip,Mailing Zip+4,Phone,BA Title1,BA First Name,BA Last Name,BA Email,BA Title2,SEC Title1,SEC First Name,SEC Last Name,SEC Title2,HIB Title1,HIB First Name,HIB Last Name,HIB Title2,State Testing Coor. Title1,State Testing Coor. First Name,State Testing Coor. Last Name,State Testing Coor. Title2,PARCC IT Con. Title1,PARCC IT Con. First Name,PARCC IT Con. Last Name,PARCC IT Con. Title2,School Safety Specialist Title1,School Safety Specialist First Name,School Safety Specialist Last Name,School Safety Specialist Title2,Website,NCES ID
="21",AGENCY,="1431","Marie H. Katzenbach School for the Deaf",="","Mrs.","Rasheda","Garcia","Superintendent",Rasheda.Garcia@mksd.org,320 Sullivan Way, ,Ewing,NJ,="08628-3405",P.O. Box 535,,,Trenton,NJ,="08625",="0535",609-530-3112,"Mr.","Ronald","Pusillo",Ron.Pusillo@mksd.org,Business Administrator,Mrs.,Susan,Keltgen,"Supervisor of Special Education Services","Ms.","Lauren","Boose","Anti-Bullying Coordinator","Mr.","Stephen","Rotzko","Dist. Coordinator of State Testing","Mr.","Stephen","Rotzko","LEA Assessment IT Contact","Mr.","Ronald","Pusillo","School Safety Specialist",www.mksd.org,=""
="01",ATLANTIC,="0010","Absecon Public Schools District",="","Dr.","Daniel","Dooley","Superintendent",ddooley@abseconschools.org,800 Irelan Avenue, ,Absecon,NJ,="08201",800 Irelan Avenue,,,Absecon,NJ,="08201",="",609-641-5375 x1012,"Mrs.","Julie","Velluzzi",jvelluzzi@abseconschools.org,Business Administrator,Ms.,Lindsay,Reed,"Director of Special Education","Ms.","Lindsay","Reed","Anti-Bullying Coordinator","Ms.","Mary","Alvarado","Dist. Coordinator of State Testing","","","","","Dr.","Daniel","Dooley","School Safety Specialist",https://www.abseconschools.org/,="3400660"
="01",ATLANTIC,="0110","Atlantic City School District",="","Dr.","La'Quetta","Small","Chief School Administrator",lsmall@acboe.org,1300 Atlantic Avenue,Citi Center 5th Floor,Atlantic City,NJ,="08401",1300 Atlantic Avenue,Citi Center,5th Floor,Atlantic City,NJ,="08401",="",609-343-7200 X5003,"Mrs.","Tina","Trueba",ttrueba@acboe.org,B. A. / Board Secretary,Ms.,Tracy-Marie,Moody,"Director of Student Personnel Services","Ms.","Michelle","Farrell","Anti-Bullying Coordinator","Mrs.","Tracy","Slattery","Dist. Coordinator of State Testing","Mr.","Michael","Bird","LEA Assessment IT Contact","Mr.","Ernest","Jubilee","School Safety Specialist",http://www.acboe.org,="3400960"
="80",ATLANTIC,="6060","Atlantic Community Charter School",="942","Mr.","Christopher","Armstrong","Lead of Charter School (District Level)",carmstrong@atlanticcommunitycharter.com,112 South New York Rd., ,Galloway,NJ,="08205",112 South New York Rd.,,,Galloway,NJ,="08205",="",609-428-4300,"Mr.","Glenn","Richardson",grichardson@atlanticcommunitycharter.com,B. A. / Board Secretary,Dr.,Steven,DiMatteo,"Director of Special Education","Ms.","Sharon","Mauriello","Anti-Bullying Coordinator","Mr.","Steven","DiMatteo","Dist. Coordinator of State Testing","Mr.","Drew","De Mattia","LEA Assessment IT Contact","Ms.","Sharon","Mauriello","School Safety Specialist",https://www.atlanticcommunitycharter.com,="3400771"
="01",ATLANTIC,="0125","Atlantic County Special Services School District",="","Dr.","Philip","Guenther","Superintendent",pguenther@acitech.org,4805 Nawakwa Boulevard, ,Mays Landing,NJ,="08330",4805 Nawakwa Boulevard,,,Mays Landing,NJ,="08330",="",609-625-5796,"Mr.","Nicholas","Brown",nbrown@acsssd.net,B. A. / Board Secretary,Mrs.,Jennifer,Cruickshank,"Supervisor of Special Services","Mrs.","Jennifer","Cruickshank","Anti-Bullying Coordinator","Ms.","Tad","Derenberger","Dist. Coordinator of State Testing","","","","","Dr.","Philip","Guenther","School Safety Specialist",www.acsssd.net,="3400006"
="01",ATLANTIC,="0120","Atlantic County Vocational School District",="","Dr.","Philip","Guenther","Superintendent",pguenther@acitech.org,5080 Atlantic Avenue, ,Mays Landing,NJ,="08330",5080 Atlantic Avenue,,,Mays Landing,NJ,="08330",="",609-625-2249 x1000,"Mr.","Nicholas","Brown",nbrown@acitech.org,Business Administrator,Ms.,Suzanne,Pulman,"Supervisor of Special Education Services","Ms.","Erin","Higman","Anti-Bullying Coordinator","Ms.","Erin","Higman","Dist. Coordinator of State Testing","","","","","Dr.","Philip","Guenther","School Safety Specialist",www.acitech.org,="3400990"
="01",ATLANTIC,="0570","Brigantine Public School District",="","Mr.","Glenn","Robbins","Superintendent",grobbins@brigantineschools.org,301 East Evans Boulevard, ,Brigantine,NJ,="08203",301 East Evans Boulevard,PO Box 947,,Brigantine,NJ,="08203",="",609-266-7671,"Mr.","Jonathan","Houdart",jhoudart@brigantineschools.org,B. A. / Board Secretary,Mrs.,Lisa,Glick,"Special Ed. Coordinator","Mr.","Ronald","DeFelice","Anti-Bullying Coordinator","Mrs.","Chloe","Sheplin","Dist. Coordinator of State Testing","","","","","Mr.","Howard","Bloom","School Safety Specialist",www.brigantineschools.org,="3402340"
="01",ATLANTIC,="0590","Buena Regional School District",="","Mr.","David","Salvo","Interim Superintendent",dsalvo@buena.k12.nj.us,914 MAIN AVENUE, ,RICHLAND,NJ,="08350",PO BOX 309,,,BUENA,NJ,="08310",="",856-697-0800,"Ms.","Dawn","Leary",dlleary@buena.k12.nj.us,B. A. / Board Secretary,Ms.,Jennifer,Clune,"Supervisor of Special Education Services","Ms.","Jennifer","Clune","Anti-Bullying Coordinator","Mrs.","Abigale","Begley","Dist. Coordinator of State Testing","","","","","Dr.","Leonard","Long","School Safety Specialist",www.buenaschools.org,="3402400"
="80",ATLANTIC,="7410","Chartertech High School for the Performing Arts",="940","Dr.","Brian","McGuire","Lead of Charter School (District Level)",bmcguire@chartertech.org,413 New Rd., ,Somers Point,NJ,="08244",413 New Rd.,,,Somers Point,NJ,="08244",="",609-926-7694 x145,"Ms.","Jill","Carson",jcarson@chartertech.org,B. A. / Board Secretary,Mrs.,Michele,Cori,"Supervisor of Special Education Services","Ms.","Erin","Randolph","Anti-Bullying Coordinator","Mr.","Phil","Pallitto","Dist. Coordinator of State Testing","Mr.","Richard","Fognano","LEA Assessment IT Contact","Mr.","Dave","Druding","School Safety Specialist",www.chartertech.org,="3400019"
="01",ATLANTIC,="0960","Corbin City School District",="","","None","Non-op District","Superintendent",xxx@xxx.org,501 Atlantic Ave.,Suite 1 c/o Ocean City BOE,Ocean City,NJ,="08226",501 Atlantic Ave.,Suite 1,c/o Ocean City BOE,Ocean City,NJ,="08226",="",0000000000,"Mrs.","Kaitlin","Granese",kgranese@ocsdnj.org,B. A. / Board Secretary,,None,Non-op District,"Special Ed. Coordinator","","None","Non-op District","Anti-Bullying Coordinator","","None","Non-op District","Dist. Coordinator of State Testing","","None","Non-op District","LEA Assessment IT Contact","","None","Non-op District","School Safety Specialist",n/a,=""
